               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,             0.02107,           0.0066898,          0.00023082,             0.88351,              0.9184,             0.93027,             0.51519,            0.034136,            0.006841,          0.00034414,            0.002872,            0.002872,            0.002872
                 110,             0.02012,           0.0063917,          0.00022676,             0.88879,             0.91149,             0.92125,             0.51765,             0.03401,           0.0068822,           0.0003432,            0.002806,            0.002806,            0.002806
                 111,            0.020083,           0.0066702,          0.00020914,             0.89968,             0.87714,             0.92296,             0.51652,            0.034893,           0.0069446,          0.00032791,             0.00274,             0.00274,             0.00274
                 112,            0.020066,           0.0062928,          0.00022805,             0.86453,             0.91982,             0.91496,             0.50468,            0.035751,           0.0069472,          0.00032575,            0.002674,            0.002674,            0.002674
                 113,            0.020264,           0.0067029,          0.00020784,             0.92856,             0.85802,             0.92384,             0.50202,            0.035785,           0.0070532,          0.00031593,            0.002608,            0.002608,            0.002608
                 114,            0.019525,           0.0065173,          0.00021276,             0.90207,             0.89482,             0.92158,             0.49587,            0.035349,             0.00709,          0.00030853,            0.002542,            0.002542,            0.002542
                 115,            0.020674,           0.0061678,          0.00020086,             0.92434,             0.88649,             0.92379,              0.4954,            0.035485,           0.0071199,          0.00030975,            0.002476,            0.002476,            0.002476
                 116,            0.019352,           0.0061366,          0.00022346,             0.91978,             0.88516,             0.92492,             0.49523,             0.03512,           0.0070418,          0.00031177,             0.00241,             0.00241,             0.00241
                 117,            0.019587,           0.0070206,          0.00019383,             0.91139,             0.90493,             0.93056,             0.52922,             0.03422,           0.0068942,          0.00029057,            0.002344,            0.002344,            0.002344
                 118,            0.019329,           0.0062557,          0.00018804,             0.92199,             0.88142,             0.92738,             0.53139,            0.033753,           0.0067361,          0.00028853,            0.002278,            0.002278,            0.002278
                 119,            0.018938,           0.0065971,          0.00020403,             0.92983,             0.90896,             0.93721,             0.53345,            0.033313,             0.00683,          0.00028338,            0.002212,            0.002212,            0.002212
                 120,            0.019322,           0.0063973,          0.00019005,             0.90007,               0.925,             0.93626,              0.5229,            0.033802,           0.0069119,          0.00028247,            0.002146,            0.002146,            0.002146
                 121,            0.018884,           0.0064943,          0.00020413,             0.94144,             0.86087,             0.91394,             0.52548,            0.034833,           0.0070511,          0.00027681,             0.00208,             0.00208,             0.00208
